,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients,recettes,recettes_nettoyees,cal_recette,cal_par_portion,tps_course_affichage,tps_marche_affichage,tps_velo_affichage,tps_course_min,tps_marche_min,tps_velo_min
10,https://www.marmiton.org/recettes/recette_liqueur-de-bourgeons-de-sapin_30247.aspx,4.0,2.0,174.0,Liqueur de bourgeons de sapin,40 min,facile,Coût moyen,1.0,"[""1/2 l d'eau de vie"", '300 g de sucre']","{'eau': [1000.0, 'g'], 'sucre': [300.0, 'g']}","{'eau': [1000.0, 'g'], 'sucre': [300.0, 'g']}",1227.0,1227.0,2h16,6h49,4h5,136,409,245
11,https://www.marmiton.org/recettes/recette_confitures-d-hiver-aux-agrumes_36174.aspx,4.5,13.0,1200.0,Confitures d'hiver aux agrumes,1h30,facile,Coût moyen,1.0,"[""1 kg d'orange"", 'Citron', 'Pamplemousse', ""2 l d'eau"", '1 kg de sucre', '1 cl de rhum blanc agricole']","{'orange': [1000.0, 'g'], 'citron': [1, 'unite'], 'pamplemousse': [1, 'unite'], 'eau': [2000.0, 'g'], 'sucre': [1000.0, 'g'], 'rhum': [10.0, 'g']}","{'orange': [1000.0, 'g'], 'citron': [1, 'unite'], 'pamplemousse': [1, 'unite'], 'eau': [2000.0, 'g'], 'sucre': [1000.0, 'g'], 'rhum': [10.0, 'g']}",4651.58,4651.58,8h36,25h50,15h30,516,1550,930
12,https://www.marmiton.org/recettes/recette_taboule-de-fruits-d-hiver_343314.aspx,0.0,0.0,185.0,Taboulé de fruits d’hiver,10 min,très facile,bon marché,6.0,"['1 semoule fine', '1 cuillère à café de cannelle', ""1/2 jus d'agrumes"", '1/2 eau', '1 cuillère à soupe de miel', '1 orange', '1 pomme', '1 kiwi']","{'semoule': [1.0, 'unite'], 'cannelle': [10.0, 'g'], 'eau': [1, 'unite'], 'miel': [10.0, 'g'], 'orange': [1.0, 'unite'], 'pomme': [1.0, 'unite'], 'kiwi': [1.0, 'unite']}","{'semoule': [1.0, 'unite'], 'cannelle': [10.0, 'g'], 'eau': [1, 'unite'], 'miel': [10.0, 'g'], 'orange': [1.0, 'unite'], 'pomme': [1.0, 'unite'], 'kiwi': [1.0, 'unite']}",742.9399999999999,123.82333333333332,13 min,41 min,24 min,13,41,24
13,https://www.marmiton.org/recettes/recette_petite-salade-d-hiver_165940.aspx,3.7,3.0,474.0,Petite salade d'hiver,18 min,facile,bon marché,3.0,"['1 carotte', '1/2 pomme Granny', ""5 feuilles d'endive"", '1 citron', '1 sachet de pignons de pin', 'Huile', 'Poivre', 'Sel']","{'carotte': [1.0, 'unite'], 'pomme': [1, 'unite'], 'endive': [5.0, 'unite'], 'citron': [1.0, 'unite'], 'pignons': [7.0, 'g'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}","{'carotte': [1.0, 'unite'], 'pomme': [1, 'unite'], 'endive': [5.0, 'unite'], 'citron': [1.0, 'unite'], 'pignons': [7.0, 'g'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}",625.654,208.55133333333333,23 min,1h9,41 min,23,69,41
14,https://www.marmiton.org/recettes/recette_soupe-rouge-d-hiver_253759.aspx,4.0,1.0,41.0,Soupe rouge d'hiver,45 min,très facile,bon marché,2.0,"['2 pommes de terre', '3 betteraves', '1 chou-fleur', '1 oignon', 'Sel', 'Poivre', 'Origan', '1/2 verre de vinaigre balsamique']","{'pomme': [2.0, 'unite'], 'betterave': [3.0, 'unite'], 'chou': [1.0, 'unite'], 'oignon': [1.0, 'unite'], 'sel': [1, 'unite'], 'poivre': [1, 'unite'], 'origan': [1, 'unite'], 'vinaigre balsamique': [150.0, 'g']}","{'pomme': [2.0, 'unite'], 'betterave': [3.0, 'unite'], 'chou': [1.0, 'unite'], 'oignon': [1.0, 'unite'], 'sel': [1, 'unite'], 'poivre': [1, 'unite'], 'origan': [1, 'unite'], 'vinaigre balsamique': [150.0, 'g']}",696.7339999999999,348.36699999999996,38 min,1h56,1h9,38,116,69
15,https://www.marmiton.org/recettes/recette_gratin-d-hiver_86330.aspx,4.8,5.0,1600.0,Gratin d'Hiver,1h05,très facile,bon marché,3.0,"['600 g de pomme de terre (équivalent à 5 pommes de terre)', ""40 cl d'eau"", '30 cl de lait', '1 bouquet de thym /laurier', ""2 gousses d'ail"", '5 cl de crème légère liquide', '1 oignon', '200 g de lardons', ""70 g d'emmental rapé"", ""1 cuillère à café d'huile d'olive"", 'Poivre', 'Sel']","{'pomme de terre': [600.0, 'g'], 'eau': [400.0, 'g'], 'lait': [300.0, 'g'], 'thym': [1.0, 'unite'], 'ail': [2.0, 'unite'], 'crème': [50.0, 'g'], 'oignon': [1.0, 'unite'], 'lardon': [200.0, 'g'], 'emmental': [70.0, 'g'], 'café': [10.0, 'g'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}","{'pomme de terre': [600.0, 'g'], 'eau': [400.0, 'g'], 'lait': [300.0, 'g'], 'thym': [1.0, 'unite'], 'ail': [2.0, 'unite'], 'crème': [50.0, 'g'], 'oignon': [1.0, 'unite'], 'lardon': [200.0, 'g'], 'emmental': [70.0, 'g'], 'café': [10.0, 'g'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}",1743.7239999999997,581.2413333333333,1h4,3h13,1h56,64,193,116
16,https://www.marmiton.org/recettes/recette_tajine-aux-legumes-d-hiver_343507.aspx,5.0,2.0,212.0,Tajine aux légumes d'hiver,55 min,facile,Coût moyen,2.0,"['1 cuillère à café de curry rouge', '2 navets', '3 pommes de terre', '1 oignon', '1 poireau', '1 citron', '6 figues sèches', ""1 cuillère à soupe d'huile olive"", '1 cuillère à soupe de sel', ""2 gousses d'ail"", '1 cuillère à café de cumin', ""1 poignée d'arachide""]","{'curry': [10.0, 'g'], 'pomme': [3.0, 'unite'], 'oignon': [1.0, 'unite'], 'poireau': [1.0, 'unite'], 'citron': [1.0, 'unite'], 'figues sèches': [6.0, 'unite'], 'sel': [10.0, 'g'], 'ail': [2.0, 'unite'], 'cumin': [10.0, 'g']}","{'curry': [10.0, 'g'], 'pomme': [3.0, 'unite'], 'oignon': [1.0, 'unite'], 'poireau': [1.0, 'unite'], 'citron': [1.0, 'unite'], 'figues sèches': [6.0, 'unite'], 'sel': [10.0, 'g'], 'ail': [2.0, 'unite'], 'cumin': [10.0, 'g']}",593.4660000000001,296.73300000000006,32 min,1h38,59 min,32,98,59
17,https://www.marmiton.org/recettes/recette_poularde-rotie-aux-fruits-d-hiver_11660.aspx,4.8,92.0,3600.0,Poularde rôtie aux fruits d'hiver,1h30,très facile,bon marché,6.0,"['1 poularde de 2 kg', '400 g de riz blanc et riz sauvage,', '1 citron', '1 orange', '1 oignon', '1 branche de céleri', '2 feuilles de laurier', ""1 cuillère à café d'épices en poudre (muscade, girofle, cannelle et poivre)"", '12 pruneaux', '50 g de raisins secs', '6 abricots secs', ""50 g d'amandes entières"", ""50 g d'amandes effilées"", '100 g de beurre', 'Sel']","{'poularde': [1.0, 'unite'], 'citron': [1.0, 'unite'], 'orange': [1.0, 'unite'], 'oignon': [1.0, 'unite'], 'cannelle': [10.0, 'g'], 'pruneaux': [12.0, 'unite'], 'raisins secs': [50.0, 'g'], 'abricots secs': [6.0, 'unite'], 'amandes': [50.0, 'g'], 'amandes2': [50.0, 'g'], 'beurre': [100.0, 'g'], 'sel': [1, 'unite']}","{'poularde': [1.0, 'unite'], 'citron': [1.0, 'unite'], 'orange': [1.0, 'unite'], 'oignon': [1.0, 'unite'], 'cannelle': [10.0, 'g'], 'pruneaux': [12.0, 'unite'], 'raisins secs': [50.0, 'g'], 'abricots secs': [6.0, 'unite'], 'amandes': [50.0, 'g'], 'amandes2': [50.0, 'g'], 'beurre': [100.0, 'g'], 'sel': [1, 'unite']}",6799.710000000001,1133.285,2h5,6h17,3h46,125,377,226
18,https://www.marmiton.org/recettes/recette_feuillete-de-legume-d-hiver_304698.aspx,3.0,1.0,105.0,Feuilletés aux légumes d'hiver,45 min,facile,bon marché,6.0,"['1/2 chou-fleur', '3 carottes', '2 poireaux', '1 pâte feuilletée', ""1 jaune d'oeuf"", ""1 filet d'huile d'olive"", 'brin de persil haché', 'brin de coriandre', 'Sel', 'Poivre', 'Romarin', '2 cuillères à soupe de sauce soja']","{'chou': [1, 'unite'], 'carotte': [3.0, 'unite'], 'poireau': [2.0, 'unite'], 'pâte feuilletée': [1.0, 'unite'], 'oeuf': [1.0, 'unite'], 'persil': [1, 'unite'], 'coriandre': [1, 'unite'], 'sel': [1, 'unite'], 'poivre': [1, 'unite'], 'romarin': [1, 'unite'], 'soja': [2.0, 'unite']}","{'chou': [1, 'unite'], 'carotte': [3.0, 'unite'], 'poireau': [2.0, 'unite'], 'pâte feuilletée': [1.0, 'unite'], 'oeuf': [1.0, 'unite'], 'persil': [1, 'unite'], 'coriandre': [1, 'unite'], 'sel': [1, 'unite'], 'poivre': [1, 'unite'], 'romarin': [1, 'unite'], 'soja': [2.0, 'unite']}",2637.4889999999996,439.58149999999995,48 min,2h26,1h27,48,146,87
19,https://www.marmiton.org/recettes/recette_tarte-couronne-aux-legumes-d-hiver_346496.aspx,4.0,17.0,6600.0,Tarte couronne aux légumes d'hiver,50 min,facile,bon marché,4.0,"['1 pâte feuilletée', '200 g de feta', '500 g de potiron', '2 panais', '1 cuillère à café de thym', ""3 cuillères à soupe d'huile d'olive"", ""1 jaune d'oeuf"", 'Sel', 'Poivre']","{'pâte feuilletée': [1.0, 'unite'], 'feta': [200.0, 'g'], 'panais': [2.0, 'unite'], 'café': [10.0, 'g'], 'oeuf': [1.0, 'unite'], 'sel': [1, 'unite'], 'poivre': [1, 'unite']}","{'pâte feuilletée': [1.0, 'unite'], 'feta': [200.0, 'g'], 'panais': [2.0, 'unite'], 'café': [10.0, 'g'], 'oeuf': [1.0, 'unite'], 'sel': [1, 'unite'], 'poivre': [1, 'unite']}",2252.8239999999996,563.2059999999999,1h2,3h7,1h52,62,187,112
20,https://www.marmiton.org/recettes/recette_confiture-de-bourgeons-de-sapin_17073.aspx,4.0,2.0,179.0,Confiture de bourgeons de sapin,1h30,facile,bon marché,4.0,"['3 kg de sucre (pour 1 litre de jus)', '2 citrons (pour 1 litre de jus)']","{'sucre': [3000.0, 'g'], 'citron': [2.0, 'unite']}","{'sucre': [3000.0, 'g'], 'citron': [2.0, 'unite']}",12303.64,3075.91,5h41,17h5,10h15,341,1025,615
21,https://www.marmiton.org/recettes/recette_soupe-reconfortante-aux-legumes-d-hiver_232743.aspx,4.5,12.0,3200.0,Soupe réconfortante aux légumes d'hiver,1h30,facile,bon marché,4.0,"['2 carottes', '2 pommes de terre', '1 poireau', '1 navet', '250 g de potiron (ou de courge)', '1 oignon rouge', '1 courgette', '1 pincée de sel', '1 pincée de poivre', ""2 cuillères à soupe d'huile d'olive"", '10 g de beurre salé', '1 pincée de herbes de Provence', '20 cl de crème fraîche']","{'carotte': [2.0, 'unite'], 'pomme': [2.0, 'unite'], 'poireau': [1.0, 'unite'], 'courge': [250.0, 'g'], 'oignon': [1.0, 'unite'], 'courgette': [1.0, 'unite'], 'sel': [1, 'g'], 'poivre': [1, 'g'], 'beurre salé': [10.0, 'g'], 'crème fraîche': [200.0, 'g']}","{'carotte': [2.0, 'unite'], 'pomme': [2.0, 'unite'], 'poireau': [1.0, 'unite'], 'courge': [250.0, 'g'], 'oignon': [1.0, 'unite'], 'courgette': [1.0, 'unite'], 'sel': [1, 'g'], 'poivre': [1, 'g'], 'beurre salé': [10.0, 'g'], 'crème fraîche': [200.0, 'g']}",1256.12,314.03,34 min,1h44,1h2,34,104,62
22,https://www.marmiton.org/recettes/recette_soupe-reconfortante-aux-legumes-d-hiver_232743.aspx,4.5,12.0,3200.0,Soupe réconfortante aux légumes d'hiver,1h30,facile,bon marché,4.0,"['2 carottes', '2 pommes de terre', '1 poireau', '1 navet', '250 g de potiron (ou de courge)', '1 oignon rouge', '1 courgette', '1 pincée de sel', '1 pincée de poivre', ""2 cuillères à soupe d'huile d'olive"", '10 g de beurre salé', '1 pincée de herbes de Provence', '20 cl de crème fraîche']","{'carotte': [2.0, 'unite'], 'pomme': [2.0, 'unite'], 'poireau': [1.0, 'unite'], 'courge': [250.0, 'g'], 'oignon': [1.0, 'unite'], 'courgette': [1.0, 'unite'], 'sel': [1, 'g'], 'poivre': [1, 'g'], 'beurre salé': [10.0, 'g'], 'crème fraîche': [200.0, 'g']}","{'carotte': [2.0, 'unite'], 'pomme': [2.0, 'unite'], 'poireau': [1.0, 'unite'], 'courge': [250.0, 'g'], 'oignon': [1.0, 'unite'], 'courgette': [1.0, 'unite'], 'sel': [1, 'g'], 'poivre': [1, 'g'], 'beurre salé': [10.0, 'g'], 'crème fraîche': [200.0, 'g']}",1256.12,314.03,34 min,1h44,1h2,34,104,62
23,https://www.marmiton.org/recettes/recette_soupe-d-hiver-aux-pommes-de-terre_20525.aspx,4.8,37.0,16000.0,Soupe d'hiver aux pommes de terre,1 h,très facile,bon marché,6.0,"['10 pommes de terre farineuses', '4 carottes', '1 demi de céleri rave', '1 poireau', '5 tranches de lard fumé du boucher', '1 saucisse de morteau', '1 fond de volaille', 'Boeuf ou légumes', '2 cuillères de crème fraîche', '1 botte de cerfeuil']","{'farine': [10.0, 'unite'], 'carotte': [4.0, 'unite'], 'poireau': [1.0, 'unite'], 'lard': [5.0, 'unite'], 'saucisse': [1.0, 'unite'], 'ail': [1.0, 'unite'], 'boeuf': [1, 'unite'], 'crème fraîche': [2.0, 'unite'], 'cerfeuil': [1.0, 'unite']}","{'farine': [10.0, 'unite'], 'carotte': [4.0, 'unite'], 'poireau': [1.0, 'unite'], 'lard': [5.0, 'unite'], 'saucisse': [1.0, 'unite'], 'ail': [1.0, 'unite'], 'boeuf': [1, 'unite'], 'crème fraîche': [2.0, 'unite'], 'cerfeuil': [1.0, 'unite']}",5612.220000000001,935.3700000000002,1h43,5h11,3h7,103,311,187
24,https://www.marmiton.org/recettes/recette_poelee-de-legumes-d-hiver_42671.aspx,4.2,9.0,338.0,Poêlée de légumes d'hiver,40 min,très facile,bon marché,4.0,"['1/2 citrouille moyenne', '1 poireau', '300 g de carotte', '3 pommes de terre moyennes', '1 oignon', 'Matière grasse (environ 1 cuillère à café bombée)', '1 bouillon cube', 'Eau', '4 bonnes cuillères de crème épaisse', 'Poivre', 'Sel']","{'citrouille': [1, 'unite'], 'poireau': [1.0, 'unite'], 'carotte': [300.0, 'g'], 'pomme': [3.0, 'unite'], 'oignon': [1.0, 'unite'], 'café': [1, 'unite'], 'bouillon': [1.0, 'unite'], 'eau': [1, 'unite'], 'crème épaisse': [4.0, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}","{'citrouille': [1, 'unite'], 'poireau': [1.0, 'unite'], 'carotte': [300.0, 'g'], 'pomme': [3.0, 'unite'], 'oignon': [1.0, 'unite'], 'café': [1, 'unite'], 'bouillon': [1.0, 'unite'], 'eau': [1, 'unite'], 'crème épaisse': [4.0, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}",2215.564,553.891,1h1,3h4,1h50,61,184,110
25,https://www.marmiton.org/recettes/recette_potage-vert-d-hiver_315323.aspx,5.0,3.0,657.0,Potage vert d'hiver,50 min,facile,bon marché,4.0,"['50 g de mâche', '4 poireaux', '1/2 radis noir', '1 oignon', '1 pomme de terre', '1 bouillon de petit-salé']","{'poireau': [4.0, 'unite'], 'radis': [1, 'unite'], 'oignon': [1.0, 'unite'], 'pomme de terre': [1.0, 'unite'], 'bouillon': [1.0, 'unite']}","{'poireau': [4.0, 'unite'], 'radis': [1, 'unite'], 'oignon': [1.0, 'unite'], 'pomme de terre': [1.0, 'unite'], 'bouillon': [1.0, 'unite']}",420.89,105.2225,11 min,35 min,21 min,11,35,21
26,https://www.marmiton.org/recettes/recette_cake-reveur-pour-l-hiver_33866.aspx,4.7,7.0,297.0,Cake rêveur pour l'hiver,50 min,très facile,Coût moyen,6.0,"['150 g de farine', '150 g de sucre semoule', '2 oeufs', '1 yaourt nature', '1/2 sachet de levure chimique', ""10 cl d'huile d'arachide"", '300 g de marrons glacés', '3 cuillères à soupe de crème de marron pour la pâte', '3 cuillères à soupe de crème de marron pour mettre entre deux couches de pâte (à cru)', ""4 cuillères à soupe d'Alcool à votre convenance (cointreau, armagnac, cognac ...)""]","{'farine': [150.0, 'g'], 'semoule': [150.0, 'g'], 'oeuf': [2.0, 'unite'], 'yaourt nature': [1.0, 'unite'], 'levure chimique': [7.0, 'g'], 'marron': [300.0, 'g'], 'marron2': [3.0, 'unite'], 'cointreau': [4.0, 'unite']}","{'farine': [150.0, 'g'], 'semoule': [150.0, 'g'], 'oeuf': [2.0, 'unite'], 'yaourt nature': [1.0, 'unite'], 'levure chimique': [7.0, 'g'], 'marron': [300.0, 'g'], 'marron2': [3.0, 'unite'], 'cointreau': [4.0, 'unite']}",3173.6099999999997,528.935,58 min,2h56,1h45,58,176,105
